path_segment,x1,y1,theta1,x2,y2,theta2
129,2.579963884674067,1.1640421310824133e-07,1.0981529774412023e-07,1.519963884674124,-2.2999837722218522e-07,1.0981529774412023e-07
130,2.5999636047103003,1.1730657117382045e-07,1.1066657923386458e-07,1.5399636047103575,-2.2909601915660611e-07,1.1066657923386458e-07
131,2.619963324746533,1.1820892968348846e-07,1.1151786050156431e-07,1.55996332474659,-2.2819366064693798e-07,1.1151786050156431e-07
132,2.6399630447827667,1.1911128774906768e-07,1.1236914199130865e-07,1.5799630447828226,-2.272913025813592e-07,1.1236914199130865e-07
133,2.659962764818999,1.200136458146465e-07,1.132204232590084e-07,1.5999627648190553,-2.2638894451578026e-07,1.132204232590084e-07
134,2.679962484855233,1.2091600432431482e-07,1.1407170474875272e-07,1.6199624848552896,-2.2548658600611163e-07,1.1407170474875272e-07
135,2.699962204891466,1.2181836238989403e-07,1.1492298601645246e-07,1.6399622048915223,-2.2458422794053284e-07,1.1492298601645246e-07
136,2.719961924927699,1.2272072089956206e-07,1.1577426750619678e-07,1.659961924927755,-2.236818694308647e-07,1.1577426750619678e-07
137,2.7399616449639317,1.2362307896514096e-07,1.1662554877389653e-07,1.6799616449639876,-2.227795113652859e-07,1.1662554877389653e-07
138,2.759961365000164,1.2452543703071975e-07,1.1747683026364086e-07,1.699961365000221,-2.218771532997068e-07,1.1747683026364086e-07
139,2.7799610850363976,1.254277955403881e-07,1.183281115313406e-07,1.7199610850364544,-2.2097479479003835e-07,1.183281115313406e-07
140,2.799960805072631,1.263301536059673e-07,1.1917939302108493e-07,1.7399608050726874,-2.2007243672445956e-07,1.1917939302108493e-07
141,2.819960525108864,1.2723251211563534e-07,1.2003067428878467e-07,1.7599605251089208,-2.191700782147911e-07,1.2003067428878467e-07
142,2.8399602451450963,1.2813487018121424e-07,1.20881955778529e-07,1.7799602451451533,-2.1826772014921231e-07,1.20881955778529e-07
143,2.85995996518133,1.2903722824679335e-07,1.2173323704622874e-07,1.799959965181387,-2.173653620836332e-07,1.2173323704622874e-07
144,2.8799596852175635,1.299395867564617e-07,1.2258451853597307e-07,1.8199596852176194,-2.1646300357396507e-07,1.2258451853597307e-07
145,2.899959405253796,1.308419448220406e-07,1.234357998036728e-07,1.839959405253852,-2.1556064550838628e-07,1.234357998036728e-07
